District,Zone,Center
Mzimba North,ECHILUMBENI,BABATONI
Mzimba North,ECHILUMBENI,CHAMALIWA
Mzimba North,ECHILUMBENI,CHANG'ANGA
Mzimba North,ECHILUMBENI,CHASENGO
Mzimba North,ECHILUMBENI,ECHILUMBENI
Mzimba North,ECHILUMBENI,JINGA
Mzimba North,ECHILUMBENI,KAKOMBWE
Mzimba North,ECHILUMBENI,KALUWERO
Mzimba North,ECHILUMBENI,KAMPHAKATA
Mzimba North,ECHILUMBENI,KAPALANKHWALI
Mzimba North,ECHILUMBENI,KAWONEKERA
Mzimba North,ECHILUMBENI,MTEMERA
Mzimba North,ECHILUMBENI,PHALA
Mzimba North,ECHILUMBENI,PHEMBA
Mzimba North,ECHILUMBENI,WANTAYA
Mzimba North,EKWENDENI,BINGAVULA
Mzimba North,EKWENDENI,CHALEKA
Mzimba North,EKWENDENI,CHOMA
Mzimba North,EKWENDENI,DUNDUZU
Mzimba North,EKWENDENI,EKWAIWENI
Mzimba North,EKWENDENI,EKWENDENI
Mzimba North,EKWENDENI,EMVUYENI
Mzimba North,EKWENDENI,JOLOWALE
Mzimba North,EKWENDENI,KALUHOLO
Mzimba North,EKWENDENI,KAMBOMBO
Mzimba North,EKWENDENI,KASWITI
Mzimba North,EKWENDENI,KAWECHE
Mzimba North,EKWENDENI,KAYOMBO
Mzimba North,EKWENDENI,NG'ONGO
Mzimba North,EKWENDENI,NGAZI
Mzimba North,EKWENDENI,ST MICHAELS
Mzimba North,EKWENDENI,ZOMBWE
Mzimba North,ELUNYENI,EHLONIPENI
Mzimba North,ELUNYENI,ELUNYENI
Mzimba North,ELUNYENI,KAMUWOLI
Mzimba North,ELUNYENI,KAZUNI
Mzimba North,ELUNYENI,KHUYU
Mzimba North,ELUNYENI,MAGOGO
Mzimba North,ELUNYENI,TCHESAMU
Mzimba North,ELUNYENI,THANDEKA
Mzimba North,ELUNYENI,ZUWE
Mzimba North,EMCISWENI,CHANKHUFU
Mzimba North,EMCISWENI,CHASAMBA
Mzimba North,EMCISWENI,CHIBANGALALA
Mzimba North,EMCISWENI,CHIPHO
Mzimba North,EMCISWENI,EMCISWENI
Mzimba North,EMCISWENI,JANGAVYA
Mzimba North,EMCISWENI,KABIRA
Mzimba North,EMCISWENI,KAMPONDO
Mzimba North,EMCISWENI,KARANGA
Mzimba North,EMCISWENI,KASANGANI
Mzimba North,EMCISWENI,MANORO
Mzimba North,EMCISWENI,MTUNDULA
Mzimba North,EMCISWENI,THUNDUWIKE
Mzimba North,EMCISWENI,VWANDAMIRE
Mzimba North,EMCISWENI,ZARO
Mzimba North,EMONENI,CHIBALE
Mzimba North,EMONENI,CHITHEBA
Mzimba North,EMONENI,EMONENI
Mzimba North,EMONENI,ESWAZINI
Mzimba North,EMONENI,JANDALALA
Mzimba North,EMONENI,KANYAWAYI
Mzimba North,EMONENI,KATAWA
Mzimba North,EMONENI,KAVITENGO
Mzimba North,EMONENI,MPHOFWA
Mzimba North,EMONENI,ZUKUMA
Mzimba North,ENGUCWINI,CHANKHANGA
Mzimba North,ENGUCWINI,CHILIDA
Mzimba North,ENGUCWINI,CHILUKWA
Mzimba North,ENGUCWINI,EMANYALENI
Mzimba North,ENGUCWINI,ENGUCWINI
Mzimba North,ENGUCWINI,KALAMA
Mzimba North,ENGUCWINI,KALUNDAMAWE
Mzimba North,ENGUCWINI,KAMWE
Mzimba North,ENGUCWINI,KAPIRIMUHOTO
Mzimba North,ENGUCWINI,LUHAWANI
Mzimba North,ENGUCWINI,MADISE
Mzimba North,ENGUCWINI,MKAMAUMOZA
Mzimba North,ENGUCWINI,ST PATRICIA
Mzimba North,ENGUCWINI,ST THOMAS
Mzimba North,ENGUCWINI,THIMALALA
Mzimba North,ENGUCWINI,THOFU
Mzimba North,ENKONDHLWENI,CHANGOMA
Mzimba North,ENKONDHLWENI,CHIKANDAZOVU
Mzimba North,ENKONDHLWENI,EMGAZINI
Mzimba North,ENKONDHLWENI,ENKONDHLWENI
Mzimba North,ENKONDHLWENI,ENKWELENI
Mzimba North,ENKONDHLWENI,EZWELENI
Mzimba North,ENKONDHLWENI,MAJIGA
Mzimba North,ENKONDHLWENI,MANGOMBERA
Mzimba North,ENKONDHLWENI,MATINDIWIZI
Mzimba North,ENKONDHLWENI,MAYULA
Mzimba North,ENKONDHLWENI,ST AUSTIN
Mzimba North,ENKONDHLWENI,VYEYO
Mzimba North,ENTHONGENI,CHISANGANO
Mzimba North,ENTHONGENI,EMBOMBENI
Mzimba North,ENTHONGENI,ENGCONGOLWENI
Mzimba North,ENTHONGENI,ENTHONGENI
Mzimba North,ENTHONGENI,KAPONDERO
Mzimba North,ENTHONGENI,KASULUWA
Mzimba North,ENTHONGENI,KAYOWERA
Mzimba North,ENTHONGENI,LUHOMERO
Mzimba North,ENTHONGENI,ST PATRICKS
Mzimba North,ENUKWENI,CHATONDA
Mzimba North,ENUKWENI,CHIGANDO
Mzimba North,ENUKWENI,ENUKWENI
Mzimba North,ENUKWENI,HOLERA
Mzimba North,ENUKWENI,KAMANDA
Mzimba North,ENUKWENI,KANYAWAZI
Mzimba North,ENUKWENI,KATOKOLI
Mzimba North,ENUKWENI,KATULA
Mzimba North,ENUKWENI,KAVULA
Mzimba North,ENUKWENI,MALOKOTERA
Mzimba North,ENUKWENI,ST KIZITO
Mzimba North,ENUKWENI,ST MONICA
Mzimba North,ENYEZINI,CHIMBONGONDO
Mzimba North,ENYEZINI,CHINTHULI
Mzimba North,ENYEZINI,CHIPANDO
Mzimba North,ENYEZINI,CHIPAPA
Mzimba North,ENYEZINI,EHLEKWENI
Mzimba North,ENYEZINI,EMAZINYENI
Mzimba North,ENYEZINI,EMSIZINI
Mzimba North,ENYEZINI,ENYEZINI
Mzimba North,ENYEZINI,HOTI
Mzimba North,ENYEZINI,KAFULUFULU
Mzimba North,ENYEZINI,KALIKOGA
Mzimba North,ENYEZINI,LUHARI
Mzimba North,ENYEZINI,MATULI
Mzimba North,ENYEZINI,MWENJE
Mzimba North,ENYEZINI,PHUTULA
Mzimba North,EUTHINI,CHAMUNGUMA
Mzimba North,EUTHINI,ETHULENI
Mzimba North,EUTHINI,EUTHINI
Mzimba North,EUTHINI,KAHELELE
Mzimba North,EUTHINI,KALOPA
Mzimba North,EUTHINI,KAMHLUZI
Mzimba North,EUTHINI,KAMSOLO
Mzimba North,EUTHINI,KAMWANKHUKU
Mzimba North,EUTHINI,KANJERENJERE
Mzimba North,EUTHINI,KANKHUKWE
Mzimba North,EUTHINI,KAPIRI
Mzimba North,EUTHINI,KASALU
Mzimba North,EUTHINI,LUWEYA
Mzimba North,EUTHINI,MONGOLA
Mzimba North,EUTHINI,MSEZA
Mzimba North,EUTHINI,MZAMBAZI
Mzimba North,EUTHINI,ST LEO
Mzimba North,EZONDWENI,BAULA
Mzimba North,EZONDWENI,BWABWA
Mzimba North,EZONDWENI,EDUNDU
Mzimba North,EZONDWENI,ELANGENI
Mzimba North,EZONDWENI,EZONDWENI
Mzimba North,EZONDWENI,KABUMBA
Mzimba North,EZONDWENI,KABWANDA
Mzimba North,EZONDWENI,KAMUTU
Mzimba North,EZONDWENI,KAPONGOLO
Mzimba North,EZONDWENI,LUVWERE
Mzimba North,EZONDWENI,MADIMBA
Mzimba North,EZONDWENI,MATHENI
Mzimba North,EZONDWENI,MAWENDE
Mzimba North,EZONDWENI,MSIKINYA
Mzimba North,KAFUKULE,BEWU
Mzimba North,KAFUKULE,FUZANI
Mzimba North,KAFUKULE,KAFUKULE
Mzimba North,KAFUKULE,KAKULULU
Mzimba North,KAFUKULE,KANTCHENI
Mzimba North,KAFUKULE,KAPANGAMAWE
Mzimba North,KAFUKULE,MANTHEPA
Mzimba North,KAFUKULE,MANTHULU
Mzimba North,KAFUKULE,MATALA
Mzimba North,KAFUKULE,MPHIMBI
Mzimba North,KAFUKULE,MUYOBE
Mzimba North,KAPANDO,CHAVIRWA
Mzimba North,KAPANDO,CHIBEKU
Mzimba North,KAPANDO,CHIMANGO
Mzimba North,KAPANDO,KABWAFU
Mzimba North,KAPANDO,KAPANDO
Mzimba North,KAPANDO,KAPIRINGO
Mzimba North,KAPANDO,KAVISOPO
Mzimba North,KAPANDO,KAVIYOMBO
Mzimba North,KAPANDO,KAVUWA
Mzimba North,KAPANDO,MALEGHERE
Mzimba North,KAPANDO,MLANGALI
Mzimba North,KAPANDO,ST LUKE
Mzimba North,KAPANDO,YAKUWATA
Mzimba North,LUSANGAZI,CHIBWAKA
Mzimba North,LUSANGAZI,CHIVANGA
Mzimba North,LUSANGAZI,ELAMULENI
Mzimba North,LUSANGAZI,KAJITI
Mzimba North,LUSANGAZI,KAMPHIMBI
Mzimba North,LUSANGAZI,KAZANDO
Mzimba North,LUSANGAZI,LUSANGAZI
Mzimba North,LUSANGAZI,MALIVENJI
Mzimba North,LUSANGAZI,MSIPAZI
Mzimba North,LUSANGAZI,NYERERE
Mzimba North,LUSANGAZI,WENGWANI
Mzimba North,MBALACHANDA,CHIUKUZI
Mzimba North,MBALACHANDA,KABUNGWE
Mzimba North,MBALACHANDA,KABWALIMBWA
Mzimba North,MBALACHANDA,KAFWEFWE
Mzimba North,MBALACHANDA,KAPIJA
Mzimba North,MBALACHANDA,KASENGA
Mzimba North,MBALACHANDA,MBALACHANDA
Mzimba North,MBALACHANDA,MCHINKHULA
Mzimba North,MBALACHANDA,MOLIYA
Mzimba North,MBALACHANDA,SAMALALA
Mzimba North,MBALACHANDA,ST.HILLARY
Mzimba North,MTENDE,CHANKHOMI
Mzimba North,MTENDE,KAM'BANGA
Mzimba North,MTENDE,KAPOKA
Mzimba North,MTENDE,MCHINGASANYA
Mzimba North,MTENDE,MTANTHA
Mzimba North,MTENDE,MTENDE
Mzimba North,MTENDE,NTHENGWE
Mzimba North,MTENDE,NTHUMBA
Mzimba North,MTENDE,NYEREMUKIRE
Mzimba North,MTENDE,ST ANNES
Mzimba North,MTENDE,VIWOWO
Mzimba North,MTENDE,ZOWE
Mzimba North,MZALANGWE,CHALUNGA
Mzimba North,MZALANGWE,CHANKHARAMU
Mzimba North,MZALANGWE,CHASIMBA
Mzimba North,MZALANGWE,EMPOPOMENI
Mzimba North,MZALANGWE,KABONDWE
Mzimba North,MZALANGWE,KATONDO
Mzimba North,MZALANGWE,KAVULULANGA
Mzimba North,MZALANGWE,MALANGAZI
Mzimba North,MZALANGWE,MAUMBA
Mzimba North,MZALANGWE,MZALANGWE
Mzimba North,MZALANGWE,SASA
Mzimba North,NJUYU,CHAMPHAMBA
Mzimba North,NJUYU,CHANJATI
Mzimba North,NJUYU,CHIGUDE
Mzimba North,NJUYU,CHINYERA
Mzimba North,NJUYU,EMTIYANI
Mzimba North,NJUYU,EZILWENI
Mzimba North,NJUYU,KAPEMBELWA
Mzimba North,NJUYU,MASATO
Mzimba North,NJUYU,MKANA
Mzimba North,NJUYU,MLIMO
Mzimba North,NJUYU,NJUYU
Mzimba North,NJUYU,PHUZI
Mzimba North,RUKURU,CHILANGANOMBO
Mzimba North,RUKURU,KALAZA
Mzimba North,RUKURU,KAPYOLAMBAVI
Mzimba North,RUKURU,KASUMA
Mzimba North,RUKURU,KATOWA
Mzimba North,RUKURU,LUMEMO
Mzimba North,RUKURU,NTHIZI
Mzimba North,RUKURU,RUKURU
Mzimba North,RUKURU,VONGO
